Timestamp,Type,SourceAddr,SenderAddr,Value_Seq_or_Tx,RSSI,HopCount,Rx_Count_Measured,PDR_Percent
17:13:58.200,DATA,0x0004,0x0004,55,-66,1,,
17:13:59.137,DATA,0x0005,0x0005,56,-73,1,,
17:13:59.192,DATA,0x0004,0x0004,56,-67,1,,
17:13:59.209,DATA,0x0003,0x0003,56,-64,1,,
17:14:00.136,DATA,0x0005,0x0005,57,-78,1,,
17:14:00.187,DATA,0x0004,0x0004,57,-69,1,,
17:14:00.204,DATA,0x0003,0x0003,57,-64,1,,
17:14:01.160,DATA,0x0003,0x0003,58,-65,1,,
17:14:01.177,DATA,0x0004,0x0004,58,-69,1,,
17:14:01.205,DATA,0x0005,0x0005,58,-76,1,,
17:14:02.157,DATA,0x0003,0x0003,59,-64,1,,
17:14:02.171,DATA,0x0004,0x0004,59,-73,1,,
17:14:02.203,DATA,0x0005,0x0005,59,-76,1,,
17:14:03.098,EVENT,TEST_STOP,Finished,,,,,
17:14:03.141,DATA,0x0004,0x0004,60,-74,1,,
17:14:03.206,DATA,0x0005,0x0005,60,-75,1,,
17:14:03.217,DATA,0x0003,0x0003,60,-61,1,,
17:14:04.154,DATA,0x0003,0x0003,61,-64,1,,
17:14:04.196,DATA,0x0004,0x0004,61,-73,1,,
17:14:04.212,DATA,0x0005,0x0005,61,-77,1,,
17:14:04.649,RESULT,0x0003,0x0002,61,-64,,59,96.72
17:14:04.855,RESULT,0x0005,0x0002,61,-73,,61,100.00
17:14:04.874,RESULT,0x0004,0x0002,61,-67,,61,100.00
17:14:21.622,EVENT,TEST_START,Duration_ms=60000,,,,,
17:14:22.696,DATA,0x0005,0x0005,1,-69,1,,
17:14:22.731,DATA,0x0003,0x0003,1,-65,1,,
17:14:22.749,DATA,0x0004,0x0004,1,-79,1,,
17:14:23.665,DATA,0x0003,0x0003,2,-65,1,,
17:14:23.682,DATA,0x0005,0x0005,2,-87,1,,
17:14:23.701,DATA,0x0004,0x0004,2,-70,1,,
17:14:24.666,DATA,0x0003,0x0003,3,-64,1,,
17:14:24.677,DATA,0x0004,0x0004,3,-69,1,,
17:14:24.696,DATA,0x0005,0x0005,3,-88,1,,
17:14:25.656,DATA,0x0003,0x0003,4,-64,1,,
17:14:25.667,DATA,0x0005,0x0005,4,-80,1,,
17:14:25.702,DATA,0x0004,0x0004,4,-67,1,,
17:14:26.651,DATA,0x0003,0x0003,5,-65,1,,
17:14:26.690,DATA,0x0005,0x0005,5,-81,1,,
17:14:26.701,DATA,0x0004,0x0004,5,-74,1,,
17:14:27.626,DATA,0x0003,0x0003,6,-65,1,,
17:14:27.679,DATA,0x0005,0x0005,6,-67,1,,
17:14:27.695,DATA,0x0004,0x0004,6,-67,1,,
17:14:28.667,DATA,0x0003,0x0003,7,-65,1,,
17:14:28.678,DATA,0x0005,0x0005,7,-66,1,,
17:14:28.696,DATA,0x0004,0x0004,7,-67,1,,
17:14:29.660,DATA,0x0003,0x0003,8,-61,1,,
17:14:29.693,DATA,0x0005,0x0005,8,-66,1,,
17:14:29.708,DATA,0x0004,0x0004,8,-67,1,,
17:14:30.638,DATA,0x0003,0x0003,9,-61,1,,
17:14:30.668,DATA,0x0005,0x0005,9,-64,1,,
17:14:30.717,DATA,0x0004,0x0004,9,-75,1,,
17:14:31.636,DATA,0x0003,0x0003,10,-63,1,,
17:14:31.685,DATA,0x0005,0x0005,10,-73,1,,
17:14:31.701,DATA,0x0004,0x0004,10,-73,1,,
17:14:32.637,DATA,0x0003,0x0003,11,-64,1,,
17:14:32.683,DATA,0x0005,0x0005,11,-74,1,,
17:14:32.695,DATA,0x0004,0x0004,11,-69,1,,
17:14:33.648,DATA,0x0003,0x0003,12,-64,1,,
17:14:33.684,DATA,0x0005,0x0005,12,-79,1,,
17:14:33.698,DATA,0x0004,0x0004,12,-77,1,,
17:14:34.640,DATA,0x0003,0x0003,13,-63,1,,
17:14:34.676,DATA,0x0004,0x0004,13,-85,1,,
17:14:34.853,DATA,0x0005,0x0005,13,-81,1,,
17:14:35.660,DATA,0x0005,0x0005,14,-77,1,,
17:14:35.673,DATA,0x0003,0x0003,14,-63,1,,
17:14:35.719,DATA,0x0004,0x0004,14,-64,1,,
17:14:36.639,DATA,0x0003,0x0003,15,-63,1,,
17:14:36.685,DATA,0x0005,0x0005,15,-81,1,,
17:14:36.696,DATA,0x0004,0x0004,15,-69,1,,
17:14:37.642,DATA,0x0005,0x0005,16,-79,1,,
17:14:37.689,DATA,0x0003,0x0003,16,-65,1,,
17:14:37.713,DATA,0x0004,0x0004,16,-67,1,,
17:14:38.662,DATA,0x0003,0x0003,17,-65,1,,
17:14:38.676,DATA,0x0005,0x0005,17,-79,1,,
17:14:38.720,DATA,0x0004,0x0004,17,-67,1,,
17:14:39.650,DATA,0x0003,0x0003,18,-65,1,,
17:14:39.688,DATA,0x0005,0x0005,18,-82,1,,
17:14:39.702,DATA,0x0004,0x0004,18,-67,1,,
