Timestamp,Type,SourceAddr,SenderAddr,Value_Seq_or_Tx,RSSI,Rx_Count_Measured,PDR_Percent
15:33:19.890,DATA,0x00d3,0x00d3,11,-57,,
15:33:20.849,DATA,0x00d4,0x00d4,12,-49,,
15:33:20.888,DATA,0x00d3,0x00d3,12,-57,,
15:33:21.878,DATA,0x00d3,0x00d3,13,-57,,
15:33:21.891,DATA,0x00d4,0x00d4,13,-49,,
15:33:22.863,DATA,0x00d4,0x00d4,14,-49,,
15:33:22.897,DATA,0x00d3,0x00d3,14,-54,,
15:33:23.865,DATA,0x00d3,0x00d3,15,-52,,
15:33:23.882,DATA,0x00d4,0x00d4,15,-47,,
15:33:24.864,DATA,0x00d3,0x00d3,16,-54,,
15:33:24.883,DATA,0x00d4,0x00d4,16,-47,,
15:33:25.873,DATA,0x00d4,0x00d4,17,-45,,
15:33:25.889,DATA,0x00d3,0x00d3,17,-59,,
15:33:26.872,DATA,0x00d3,0x00d3,18,-56,,
15:33:26.888,DATA,0x00d4,0x00d4,18,-45,,
15:33:27.867,DATA,0x00d3,0x00d3,19,-56,,
15:33:27.882,DATA,0x00d4,0x00d4,19,-45,,
15:33:28.869,DATA,0x00d3,0x00d3,20,-59,,
15:33:28.883,DATA,0x00d4,0x00d4,20,-48,,
15:33:29.882,DATA,0x00d4,0x00d4,21,-48,,
15:33:29.905,DATA,0x00d3,0x00d3,21,-60,,
15:33:30.877,DATA,0x00d3,0x00d3,22,-56,,
15:33:30.890,DATA,0x00d4,0x00d4,22,-45,,
15:33:31.871,DATA,0x00d3,0x00d3,23,-60,,
15:33:31.883,DATA,0x00d4,0x00d4,23,-48,,
15:33:32.867,DATA,0x00d4,0x00d4,24,-48,,
15:33:32.883,DATA,0x00d3,0x00d3,24,-60,,
15:33:33.873,DATA,0x00d4,0x00d4,25,-46,,
15:33:33.889,DATA,0x00d3,0x00d3,25,-54,,
15:33:34.855,DATA,0x00d4,0x00d4,26,-46,,
15:33:34.887,DATA,0x00d3,0x00d3,26,-54,,
15:33:35.871,DATA,0x00d3,0x00d3,27,-56,,
15:33:35.883,DATA,0x00d4,0x00d4,27,-45,,
15:33:36.861,DATA,0x00d4,0x00d4,28,-45,,
15:33:36.981,DATA,0x00d3,0x00d3,28,-57,,
15:33:37.880,DATA,0x00d3,0x00d3,29,-56,,
15:33:37.895,DATA,0x00d4,0x00d4,29,-48,,
15:33:38.851,DATA,0x00d4,0x00d4,30,-45,,
15:33:38.894,DATA,0x00d3,0x00d3,30,-56,,
15:33:39.876,DATA,0x00d3,0x00d3,31,-56,,
15:33:39.889,DATA,0x00d4,0x00d4,31,-48,,
15:33:40.874,DATA,0x00d3,0x00d3,32,-57,,
15:33:40.887,DATA,0x00d4,0x00d4,32,-48,,
15:33:41.864,DATA,0x00d4,0x00d4,33,-47,,
15:33:42.069,DATA,0x00d3,0x00d3,33,-55,,
15:33:42.898,DATA,0x00d4,0x00d4,34,-46,,
15:33:42.910,DATA,0x00d3,0x00d3,34,-54,,
15:33:43.876,DATA,0x00d4,0x00d4,35,-46,,
15:33:43.888,DATA,0x00d3,0x00d3,35,-54,,
15:33:44.878,DATA,0x00d3,0x00d3,36,-55,,
15:33:44.889,DATA,0x00d4,0x00d4,36,-46,,
15:33:45.877,DATA,0x00d3,0x00d3,37,-56,,
15:33:45.886,DATA,0x00d4,0x00d4,37,-45,,
15:33:46.876,DATA,0x00d4,0x00d4,38,-45,,
15:33:46.887,DATA,0x00d3,0x00d3,38,-56,,
15:33:47.878,DATA,0x00d3,0x00d3,39,-56,,
15:33:47.889,DATA,0x00d4,0x00d4,39,-45,,
15:33:48.881,DATA,0x00d4,0x00d4,40,-48,,
15:33:48.895,DATA,0x00d3,0x00d3,40,-57,,
15:33:49.879,DATA,0x00d4,0x00d4,41,-49,,
15:33:49.893,DATA,0x00d3,0x00d3,41,-59,,
15:33:50.880,DATA,0x00d3,0x00d3,42,-58,,
15:33:50.890,DATA,0x00d4,0x00d4,42,-49,,
15:33:51.898,DATA,0x00d4,0x00d4,43,-46,,
15:33:51.908,DATA,0x00d3,0x00d3,43,-55,,
15:33:52.883,DATA,0x00d4,0x00d4,44,-46,,
15:33:52.895,DATA,0x00d3,0x00d3,44,-54,,
15:33:53.913,DATA,0x00d4,0x00d4,45,-45,,
15:33:53.928,DATA,0x00d3,0x00d3,45,-57,,
15:33:54.885,DATA,0x00d4,0x00d4,46,-46,,
15:33:54.895,DATA,0x00d3,0x00d3,46,-58,,
15:33:55.887,DATA,0x00d4,0x00d4,47,-46,,
15:33:55.901,DATA,0x00d3,0x00d3,47,-57,,
15:33:56.885,DATA,0x00d4,0x00d4,48,-49,,
15:33:56.901,DATA,0x00d3,0x00d3,48,-58,,
15:33:57.890,DATA,0x00d4,0x00d4,49,-49,,
15:33:57.901,DATA,0x00d3,0x00d3,49,-57,,
15:33:58.883,DATA,0x00d3,0x00d3,50,-59,,
15:33:58.894,DATA,0x00d4,0x00d4,50,-48,,
15:33:59.890,DATA,0x00d3,0x00d3,51,-56,,
15:33:59.900,DATA,0x00d4,0x00d4,51,-46,,
15:34:00.888,DATA,0x00d4,0x00d4,52,-46,,
15:34:00.897,DATA,0x00d3,0x00d3,52,-56,,
15:34:01.888,DATA,0x00d4,0x00d4,53,-46,,
15:34:01.899,DATA,0x00d3,0x00d3,53,-55,,
15:34:02.889,DATA,0x00d4,0x00d4,54,-46,,
15:34:02.899,DATA,0x00d3,0x00d3,54,-57,,
15:34:03.873,DATA,0x00d4,0x00d4,55,-46,,
15:34:03.914,DATA,0x00d3,0x00d3,55,-59,,
15:34:04.917,DATA,0x00d4,0x00d4,56,-49,,
15:34:04.933,DATA,0x00d3,0x00d3,56,-58,,
15:34:05.890,DATA,0x00d3,0x00d3,57,-58,,
15:34:05.901,DATA,0x00d4,0x00d4,57,-49,,
15:34:06.869,DATA,0x00d3,0x00d3,58,-58,,
15:34:06.907,DATA,0x00d4,0x00d4,58,-49,,
